Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94505-53681,WR,Tyreek,Tyreek Hill,Hill,21.600000381469727,4,9400,NYG@MIA,MIA,NYG,,,,,,WR/FLEX
94505-57439,QB,Patrick,Patrick Mahomes,Mahomes,20.90999984741211,4,9200,KC@MIN,KC,MIN,,,,,,QB
94505-85671,WR,Justin,Justin Jefferson,Jefferson,21.700000762939453,4,9200,KC@MIN,MIN,KC,,,,,,WR/FLEX
94505-39280,RB,Derrick,Derrick Henry,Henry,13.944999694824219,4,9000,TEN@IND,TEN,IND,,,,,,RB/FLEX
94505-64401,RB,Saquon,Saquon Barkley,Barkley,16,2,8800,NYG@MIA,NYG,MIA,Q,Ankle,,,,RB/FLEX
94505-33076,TE,Travis,Travis Kelce,Kelce,12,3,8789,KC@MIN,KC,MIN,,,,,,TE/FLEX
94505-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,10.774999618530273,4,8700,CIN@ARI,CIN,ARI,,,,,,WR/FLEX
94505-69531,QB,Jalen,Jalen Hurts,Hurts,21.190000534057617,4,8600,PHI@LAR,PHI,LAR,,,,,,QB
94505-79970,WR,Cooper,Cooper Kupp,Kupp,18.211110432942707,9,8500,PHI@LAR,LAR,PHI,,,,,,WR/FLEX
94505-73273,RB,David,David Montgomery,Montgomery,19.46666717529297,3,8500,CAR@DET,DET,CAR,,,,,,RB/FLEX
94505-63115,QB,Lamar,Lamar Jackson,Jackson,21.690000534057617,4,8400,BAL@PIT,BAL,PIT,,,,,,QB
94505-129315,QB,Anthony,Anthony Richardson,Richardson,23.08666737874349,3,8300,TEN@IND,IND,TEN,,,,,,QB
94505-72846,WR,A.J.,A.J. Brown,Brown,16.975000381469727,4,8200,PHI@LAR,PHI,LAR,,,,,,WR/FLEX
94505-136855,RB,Bijan,Bijan Robinson,Robinson,15.175000190734863,4,8200,HOU@ATL,ATL,HOU,,,,,,RB/FLEX
94505-28744,RB,Raheem,Raheem Mostert,Mostert,20.725000381469727,4,8000,NYG@MIA,MIA,NYG,,,,,,RB/FLEX
