Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94070-55050,RB,Christian,Christian McCaffrey,McCaffrey,22.700000762939453,2,10000,NYG@SF,SF,NYG,,,,,,RB/FLEX
94070-80001,RB,Austin,Austin Ekeler,Ekeler,24.399999618530273,1,9800,LAC@MIN,LAC,MIN,Q,Ankle,,,,RB/FLEX
94070-85671,WR,Justin,Justin Jefferson,Jefferson,19.450000762939453,2,9700,LAC@MIN,MIN,LAC,,,,,,WR/FLEX
94070-53681,WR,Tyreek,Tyreek Hill,Hill,25.75,2,9600,DEN@MIA,MIA,DEN,Q,Ankle,,,,WR/FLEX
94070-63759,RB,Tony,Tony Pollard,Pollard,18.799999237060547,2,9400,DAL@ARI,DAL,ARI,,,,,,RB/FLEX
94070-57439,QB,Patrick,Patrick Mahomes,Mahomes,21.3700008392334,2,9200,CHI@KC,KC,CHI,,,,,,QB
94070-136855,RB,Bijan,Bijan Robinson,Robinson,18.25,2,9000,ATL@DET,ATL,DET,,,,,,RB/FLEX
94070-29253,WR,Keenan,Keenan Allen,Allen,19.149999618530273,2,8800,LAC@MIN,LAC,MIN,,,,,,WR/FLEX
94070-62239,QB,Josh,Josh Allen,Allen,17.850000381469727,2,8800,BUF@WAS,BUF,WAS,,,,,,QB
94070-64401,RB,Saquon,Saquon Barkley,Barkley,16,2,8800,NYG@SF,NYG,SF,O,Ankle,,,,RB/FLEX
94070-53562,RB,Nick,Nick Chubb,Chubb,10.550000190734863,2,8600,TEN@CLE,CLE,TEN,IR,Knee - meniscus,,,,RB/FLEX
94070-69531,QB,Jalen,Jalen Hurts,Hurts,19.360000610351562,2,8600,PHI@TB,PHI,TB,,,,,,QB
94070-86631,WR,CeeDee,CeeDee Lamb,Lamb,14.75,2,8500,DAL@ARI,DAL,ARI,,,,,,WR/FLEX
94070-39280,RB,Derrick,Derrick Henry,Henry,14.949999809265137,2,8400,TEN@CLE,TEN,CLE,Q,Toe,,,,RB/FLEX
94070-69189,QB,Justin,Justin Herbert,Herbert,21.530000686645508,2,8400,LAC@MIN,LAC,MIN,,,,,,QB
94070-63115,QB,Lamar,Lamar Jackson,Jackson,15.220000267028809,2,8200,IND@BAL,BAL,IND,,,,,,QB
94070-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,20.700000762939453,2,8100,DEN@MIA,MIA,DEN,,,,,,QB
94070-40442,RB,Aaron,Aaron Jones,Jones,25.700000762939453,1,8100,NO@GB,GB,NO,Q,Hamstring,,,,RB/FLEX
94070-129315,QB,Anthony,Anthony Richardson,Richardson,19.829999923706055,2,8000,IND@BAL,IND,BAL,Q,Concussion,,,,QB
94070-33076,TE,Travis,Travis Kelce,Kelce,10.600000381469727,1,8000,CHI@KC,KC,CHI,,,,,,TE/FLEX
94070-25079,WR,Stefon,Stefon Diggs,Diggs,15.649999618530273,2,8000,BUF@WAS,BUF,WAS,,,,,,WR/FLEX
94070-32384,WR,Mike,Mike Evans,Evans,20.850000381469727,2,8000,PHI@TB,TB,PHI,,,,,,WR/FLEX
94070-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,12.050000190734863,2,8000,HOU@JAC,JAC,HOU,,,,,,RB/FLEX
94070-45889,WR,Davante,Davante Adams,Adams,13.5,2,7900,PIT@LV,LV,PIT,,,,,,WR/FLEX
94070-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,13.649999618530273,2,7900,ATL@DET,DET,ATL,Q,Toe,,,,WR/FLEX
94070-22038,QB,Kirk,Kirk Cousins,Cousins,23.010000228881836,2,7800,LAC@MIN,MIN,LAC,,,,,,QB
94070-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,6.099999904632568,2,7800,LAR@CIN,CIN,LAR,,,,,,WR/FLEX
94070-87770,WR,Chris,Chris Olave,Olave,13.399999618530273,2,7800,NO@GB,NO,GB,,,,,,WR/FLEX
94070-91591,QB,Justin,Justin Fields,Fields,16.139999389648438,2,7700,CHI@KC,CHI,KC,,,,,,QB
