Id,Position,First Name,Nickname,Last Name,OG_FPPG,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,FPPG,Value,Projected Minutes
95568-84669,PG/SG,Luka,Luka Doncic,Doncic,68.16666667,12900,CHI@DAL,DAL,CHI,,,,,,PG/SG,0.00,0.00,0.00
95568-55062,C,Nikola,Nikola Jokic,Jokic,54.45000076,12100,DEN@MIN,DEN,MIN,,,,,,C,0.00,0.00,0.00
95568-15755,PF/C,Anthony,Anthony Davis,Davis,58.625,11600,LAC@LAL,LAL,LAC,,,,,,PF/C,0.00,0.00,0.00
95568-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,51.07500076,11500,NO@OKC,OKC,NO,,,,,,PG,0.00,0.00,0.00
95568-40199,PF,Giannis,Giannis Antetokounmpo,Antetokounmpo,47.33333333,10800,MIL@TOR,MIL,TOR,,,,,,PF,0.00,0.00,0.00
95568-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,56.06666565,10700,CLE@NY,CLE,NY,,,,,,PG/SG,0.00,0.00,0.00
95568-80808,PF/SF,Jayson,Jayson Tatum,Tatum,47,10600,IND@BOS,BOS,IND,,,,,,SF/PF,0.00,0.00,0.00
95568-59358,C/PF,Domantas,Domantas Sabonis,Sabonis,48.83333333,10100,SAC@GS,SAC,GS,,,,,,PF/C,0.00,0.00,0.00
95568-9524,PG/SG,Stephen,Stephen Curry,Curry,47.79999924,10000,SAC@GS,GS,SAC,,,,,,PG/SG,0.00,0.00,0.00
95568-9488,SF/PF,LeBron,LeBron James,James,44.20000076,9700,LAC@LAL,LAL,LAC,,,,,,SF/PF,0.00,0.00,0.00
95568-145337,PG/SG,Tyrese,Tyrese Haliburton,Haliburton,47.23333232,9600,IND@BOS,IND,BOS,GTD,Ankle,,,,PG/SG,0.00,0.00,0.00
95568-20848,PG,Damian,Damian Lillard,Lillard,36.30000051,9500,MIL@TOR,MIL,TOR,,,,,,PG,0.00,0.00,0.00
95568-145321,SG/SF,Anthony,Anthony Edwards,Edwards,39.23333232,9100,DEN@MIN,MIN,DEN,,,,,,SG/SF,0.00,0.00,0.00
95568-145485,PG,LaMelo,LaMelo Ball,Ball,37.69999949,9000,CHA@HOU,CHA,HOU,,,,,,PG,0.00,0.00,0.00
95568-80810,PG,De'Aaron,De'Aaron Fox,Fox,48.8666687,9000,SAC@GS,SAC,GS,O,Ankle,,,,PG,0.00,0.00,0.00
95568-157822,PF/SF,Scottie,Scottie Barnes,Barnes,46.90000153,8900,MIL@TOR,TOR,MIL,,,,,,SF/PF,0.00,0.00,0.00
95568-9644,SG/PG,James,James Harden,Harden,45.7521725,8900,LAC@LAL,LAC,LAL,O,Not injury related,,,,PG/SG,0.00,0.00,0.00
95568-84683,PF/C,Jaren,Jaren Jackson,Jackson,39.02500153,8900,MEM@UTA,MEM,UTA,,,,,,PF/C,0.00,0.00,0.00
95568-14498,PG/SG,Kyrie,Kyrie Irving,Irving,34.40000153,8800,CHI@DAL,DAL,CHI,GTD,Foot,,,,PG/SG,0.00,0.00,0.00
95568-84671,PG,Trae,Trae Young,Young,39.40000153,8800,WAS@ATL,ATL,WAS,GTD,Achilles,,,,PG,0.00,0.00,0.00
95568-14528,SF/PF,Jimmy,Jimmy Butler,Butler,33.96666718,8700,BKN@MIA,MIA,BKN,GTD,Knee,,,,SF/PF,0.00,0.00,0.00
95568-145334,SG/SF,Desmond,Desmond Bane,Bane,41.04999924,8700,MEM@UTA,MEM,UTA,,,,,,SG/SF,0.00,0.00,0.00
95568-80812,PF/SF,Lauri,Lauri Markkanen,Markkanen,42.82500076,8600,MEM@UTA,UTA,MEM,,,,,,SF/PF,0.00,0.00,0.00
95568-63122,C/PF,Kristaps,Kristaps Porzingis,Porzingis,39.53333282,8500,IND@BOS,BOS,IND,,,,,,PF/C,0.00,0.00,0.00
95568-12341,SG/SF,Paul,Paul George,George,44.77500153,8400,LAC@LAL,LAC,LAL,,,,,,SG/SF,0.00,0.00,0.00
95568-58462,PF/C,Karl-Anthony,Karl-Anthony Towns,Towns,36,8400,DEN@MIN,MIN,DEN,,,,,,PF/C,0.00,0.00,0.00
95568-67708,SG/PG,Dejounte,Dejounte Murray,Murray,37.84999847,8300,WAS@ATL,ATL,WAS,,,,,,PG/SG,0.00,0.00,0.00
95568-157845,PF/C,Evan,Evan Mobley,Mobley,39.59999847,8300,CLE@NY,CLE,NY,,,,,,PF/C,0.00,0.00,0.00
95568-42669,PF,Julius,Julius Randle,Randle,36,8300,CLE@NY,NY,CLE,,,,,,PF,0.00,0.00,0.00
95568-14513,SF/PF,Kawhi,Kawhi Leonard,Leonard,37.25,8200,LAC@LAL,LAC,LAL,,,,,,SF/PF,0.00,0.00,0.00
95568-157908,C,Alperen,Alperen Sengun,Sengun,40.80000051,8200,CHA@HOU,HOU,CHA,,,,,,C,0.00,0.00,0.00
95568-157808,PG/SG,Cade,Cade Cunningham,Cunningham,32.54999924,8100,POR@DET,DET,POR,,,,,,PG/SG,0.00,0.00,0.00
95568-66048,SF,Brandon,Brandon Ingram,Ingram,37.15000153,8100,NO@OKC,NO,OKC,GTD,Knee,,,,SF,0.00,0.00,0.00
95568-80817,C,Bam,Bam Adebayo,Adebayo,35.36666616,8100,BKN@MIA,MIA,BKN,GTD,Hip,,,,C,0.00,0.00,0.00
95568-40203,C,Rudy,Rudy Gobert,Gobert,40.5,8000,DEN@MIN,MIN,DEN,,,,,,C,0.00,0.00,0.00
95568-67026,SF/SG,Jaylen,Jaylen Brown,Brown,40.86666616,8000,IND@BOS,BOS,IND,,,,,,SG/SF,0.00,0.00,0.00
95568-9714,SF,DeMar,DeMar DeRozan,DeRozan,39.82500076,8000,CHI@DAL,CHI,DAL,,,,,,SF,0.00,0.00,0.00
95568-60021,PF,Pascal,Pascal Siakam,Siakam,30.52499962,7900,MIL@TOR,TOR,MIL,,,,,,PF,0.00,0.00,0.00
95568-84690,PG,Jalen,Jalen Brunson,Brunson,32.25,7900,CLE@NY,NY,CLE,,,,,,PG,0.00,0.00,0.00
95568-110312,SG/SF,Tyler,Tyler Herro,Herro,39.29999924,7900,BKN@MIA,MIA,BKN,,,,,,SG/SF,0.00,0.00,0.00
95568-171779,C,Jalen,Jalen Duren,Duren,41.77500153,7900,POR@DET,DET,POR,GTD,Ankle,,,,C,0.00,0.00,0.00
95568-58253,C,Myles,Myles Turner,Turner,37.23333232,7900,IND@BOS,IND,BOS,,,,,,C,0.00,0.00,0.00
95568-157838,SG/SF,Cam,Cameron Thomas,Thomas,42.79999797,7800,BKN@MIA,BKN,MIA,,,,,,SG/SF,0.00,0.00,0.00
95568-19067,PG/SG,CJ,CJ McCollum,McCollum,39.53333282,7800,NO@OKC,NO,OKC,,,,,,PG/SG,0.00,0.00,0.00
95568-84670,SG/SF,Mikal,Mikal Bridges,Bridges,34.96666718,7800,BKN@MIA,BKN,MIA,,,,,,SG/SF,0.00,0.00,0.00
95568-110310,PF,Zion,Zion Williamson,Williamson,33.13333384,7800,NO@OKC,NO,OKC,,,,,,PF,0.00,0.00,0.00
95568-171759,C/PF,Chet,Chet Holmgren,Holmgren,35.25,7800,NO@OKC,OKC,NO,,,,,,PF/C,0.00,0.00,0.00
95568-14514,C,Nikola,Nikola Vucevic,Vucevic,33.47499847,7700,CHI@DAL,CHI,DAL,,,,,,C,0.00,0.00,0.00
95568-9623,PG,Chris,Chris Paul,Paul,33.82500076,7700,SAC@GS,GS,SAC,,,,,,PG,0.00,0.00,0.00
95568-66108,PG,Jamal,Jamal Murray,Murray,35.02500153,7700,DEN@MIN,DEN,MIN,,,,,,PG,0.00,0.00,0.00
95568-9642,PG,Russell,Russell Westbrook,Westbrook,35.77500153,7600,LAC@LAL,LAC,LAL,,,,,,PG,0.00,0.00,0.00
95568-40783,SG/SF,Zach,Zach LaVine,LaVine,30.27499962,7600,CHI@DAL,CHI,DAL,GTD,Back,,,,SG/SF,0.00,0.00,0.00
95568-42677,SG/PG,Terry,Terry Rozier,Rozier,35.39999898,7500,CHA@HOU,CHA,HOU,,,,,,PG/SG,0.00,0.00,0.00
