
Id,Position,First Name,Nickname,Last Name,OG_FPPG,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,FPPG,Value,Projected Minutes
95526-9646,SF/PF,Kevin,Kevin Durant,Durant,45.06666565,11000,SA@PHO,PHO,SA,,,,,,SF/PF,50.50,4.59,35.67
95526-66113,SG,Donovan,Donovan Mitchell,Mitchell,63.54999924,10600,NY@CLE,CLE,NY,GTD,Hamstring,,,,SG,47.30,4.46,35.97
95526-58460,SG,Devin,Devin Booker,Booker,48.20000076,9700,SA@PHO,PHO,SA,GTD,Foot,,,,SG,0.00,0.00,0.00
95526-12341,SG/SF,Paul,Paul George,George,43.39999898,9000,ORL@LAC,LAC,ORL,,,,,,SG/SF,40.90,4.55,35.00
95526-14513,SF/PF,Kawhi,Kawhi Leonard,Leonard,40.63333384,8700,ORL@LAC,LAC,ORL,,,,,,SF/PF,40.30,4.63,34.27
95526-42669,PF,Julius,Julius Randle,Randle,36,8500,NY@CLE,NY,CLE,,,,,,PF,37.80,4.45,34.53
95526-84690,PG,Jalen,Jalen Brunson,Brunson,33,8200,NY@CLE,NY,CLE,,,,,,PG,38.10,4.64,35.39
95526-157845,PF/C,Evan,Evan Mobley,Mobley,42.16666667,8100,NY@CLE,CLE,NY,,,,,,PF/C,40.80,5.04,35.50
95526-188414,PF/C,Victor,Victor Wembanyama,Wembanyama,33.30000051,7900,SA@PHO,SA,PHO,,,,,,PF/C,32.30,4.09,29.25
95526-9642,PG,Russell,Russell Westbrook,Westbrook,30.80000051,7600,ORL@LAC,LAC,ORL,,,,,,PG,29.70,3.90,27.46
95526-15595,SG/PG,Bradley,Bradley Beal,Beal,37.81399902,7500,SA@PHO,PHO,SA,O,Back,,,,PG/SG,0.00,0.00,0.00
95526-110342,PG,Darius,Darius Garland,Garland,24.89999962,7400,NY@CLE,CLE,NY,O,Hamstring,,,,PG,0.00,0.00,0.00
95526-80821,C/PF,Jarrett,Jarrett Allen,Allen,32.76849449,7200,NY@CLE,CLE,NY,O,Ankle,,,,PF/C,0.00,0.00,0.00
95526-171770,PF/SF,Paolo,Paolo Banchero,Banchero,26.46666718,7100,ORL@LAC,ORL,LAC,,,,,,SF/PF,34.00,4.78,33.24
95526-55057,C,Jusuf,Jusuf Nurkic,Nurkic,32,7000,SA@PHO,PHO,SA,,,,,,C,32.80,4.69,27.20
95526-110347,PF/SF,Keldon,Keldon Johnson,Johnson,27.19999949,6900,SA@PHO,SA,PHO,,,,,,SF/PF,28.80,4.18,32.70
95526-145324,SG,Devin,Devin Vassell,Vassell,28.10000102,6800,SA@PHO,SA,PHO,,,,,,SG,30.20,4.43,29.79
95526-80815,PF/C,Zach,Zach Collins,Collins,27.96666718,6700,SA@PHO,SA,PHO,,,,,,PF/C,32.20,4.81,33.01
95526-157851,SF/SG,Franz,Franz Wagner,Wagner,32.96666718,6600,ORL@LAC,ORL,LAC,,,,,,SG/SF,29.80,4.51,32.80
95526-84676,C,Wendell,Wendell Carter,Carter,21.83333333,6500,ORL@LAC,ORL,LAC,,,,,,C,25.70,3.96,27.93
95526-23798,SG/SF,Caris,Caris LeVert,LeVert,35.16666667,6400,NY@CLE,CLE,NY,,,,,,SG/SF,27.70,4.33,32.40
95526-110357,SF/SG,RJ,RJ Barrett,Barrett,31.60000102,6300,NY@CLE,NY,CLE,,,,,,SG/SF,27.50,4.36,30.41
95526-112708,SG/SF,Max,Max Strus,Strus,39.86666616,6100,NY@CLE,CLE,NY,,,,,,SG/SF,25.90,4.25,36.22
95526-84709,C,Mitchell,Mitchell Robinson,Robinson,33.26666768,6000,NY@CLE,NY,CLE,,,,,,C,27.50,4.59,26.94
95526-171749,PG/PF,Jeremy,Jeremy Sochan,Sochan,23.80000051,6000,SA@PHO,SA,PHO,,,,,,PG/PF,24.30,4.04,27.61
95526-145348,SG/PG,Immanuel,Immanuel Quickley,Quickley,25.03333282,5900,NY@CLE,NY,CLE,,,,,,PG/SG,26.50,4.48,27.84
95526-70827,C,Ivica,Ivica Zubac,Zubac,28.46666718,5800,ORL@LAC,LAC,ORL,GTD,Quadriceps,,,,C,25.50,4.40,25.09
95526-145327,PG/SG,Cole,Cole Anthony,Anthony,29,5700,ORL@LAC,ORL,LAC,,,,,,PG/SG,27.70,4.86,27.11
95526-145323,PG,Tre,Tre Jones,Jones,24.53333282,5600,SA@PHO,SA,PHO,,,,,,PG,26.60,4.75,25.70
95526-16293,SF/SG,Norman,Norman Powell,Powell,21.76666768,5500,ORL@LAC,LAC,ORL,GTD,Foot,,,,SG/SF,23.00,4.18,29.98
95526-80805,PG,Markelle,Markelle Fultz,Fultz,27.66666667,5400,ORL@LAC,ORL,LAC,,,,,,PG,27.10,5.02,27.14
95526-145341,SF/SG,Isaac,Isaac Okoro,Okoro,30.69999949,5300,NY@CLE,CLE,NY,,,,,,SG/SF,21.30,4.02,31.88
95526-9556,SG,Eric,Eric Gordon,Gordon,23.03333282,5200,SA@PHO,PHO,SA,,,,,,SG,24.40,4.69,29.69
95526-84689,SF/SG,Josh,Josh Okogie,Okogie,19.93333308,5100,SA@PHO,PHO,SA,,,,,,SG/SF,25.30,4.96,31.45
95526-160174,PG,Jordan,Jordan Goodwin,Goodwin,22.66666667,5000,SA@PHO,PHO,SA,,,,,,PG,25.50,5.10,24.74
95526-40562,SG/SF,Josh,Josh Hart,Hart,14.26666641,4900,NY@CLE,NY,CLE,,,,,,SG/SF,21.30,4.34,24.95
95526-157834,PG,Bones,Bones Hyland,Hyland,19.16666667,4800,ORL@LAC,LAC,ORL,,,,,,PG,0.00,0.00,0.00
95526-157850,PG/SG,Jalen,Jalen Suggs,Suggs,26.80000051,4700,ORL@LAC,ORL,LAC,,,,,,PG/SG,24.20,5.14,26.61
95526-84714,PF/C,Moritz,Moritz Wagner,Wagner,15.43333308,4600,ORL@LAC,ORL,LAC,,,,,,PF/C,16.80,3.65,18.03
95526-80825,PF/C,Isaiah,Isaiah Hartenstein,Hartenstein,14.86666616,4500,NY@CLE,NY,CLE,,,,,,PF/C,18.10,4.03,20.14
95526-110315,PG/SG,Terance,Terance Mann,Mann,17.75465145,4500,ORL@LAC,LAC,ORL,O,Ankle,,,,PG/SG,0.00,0.00,0.00
95526-110883,PF/SF,Dean,Dean Wade,Wade,18.04999924,4400,NY@CLE,CLE,NY,,,,,,SF/PF,23.20,5.26,32.19
