Id,Position,First Name,Nickname,Last Name,OG_FPPG,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,FPPG,Value,Projected Minutes
96011-55062,C,Nikola,Nikola Jokic,Jokic,58.80000136,12500,DEN@HOU,DEN,HOU,,,,,,C,59.10,4.73,35.11
96011-84669,PG,Luka,Luka Doncic,Doncic,57.44444444,12100,DAL@NO,DAL,NO,,,,,,PG,55.00,4.55,36.76
96011-15755,PF/C,Anthony,Anthony Davis,Davis,52.6875,11400,POR@LAL,LAL,POR,GTD,Hip,,,,PF/C,49.50,4.34,35.61
96011-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,53.21250153,11200,OKC@PHO,OKC,PHO,,,,,,PG,47.50,4.24,35.41
96011-9646,SF/PF,Kevin,Kevin Durant,Durant,47.26666599,10300,OKC@PHO,PHO,OKC,,,,,,SF/PF,48.80,4.74,35.52
96011-9488,SF/PF,LeBron,LeBron James,James,46.41111247,10000,POR@LAL,LAL,POR,GTD,Calf,,,,SF/PF,42.70,4.27,32.66
96011-58460,SG,Devin,Devin Booker,Booker,52.25,9900,OKC@PHO,PHO,OKC,GTD,Calf,,,,SG,0.00,0.00,0.00
96011-145321,SG/SF,Anthony,Anthony Edwards,Edwards,44.5,9300,MIN@GS,MIN,GS,GTD,Illness,,,,SG/SF,38.50,4.14,35.14
96011-9524,PG,Stephen,Stephen Curry,Curry,41.52000122,9100,MIN@GS,GS,MIN,,,,,,PG,41.70,4.58,32.72
96011-80817,C,Bam,Bam Adebayo,Adebayo,45.20000076,9000,MIA@SA,MIA,SA,,,,,,C,43.40,4.83,35.13
96011-188414,PF/C,Victor,Victor Wembanyama,Wembanyama,40.71111043,8900,MIA@SA,SA,MIA,,,,,,PF/C,41.40,4.65,34.14
96011-14498,PG/SG,Kyrie,Kyrie Irving,Irving,40.47142683,8500,DAL@NO,DAL,NO,,,,,,PG/SG,42.70,5.02,36.71
96011-14528,SF/PF,Jimmy,Jimmy Butler,Butler,35.2285723,8400,MIA@SA,MIA,SA,,,,,,SF/PF,41.20,4.91,33.80
96011-66048,SF,Brandon,Brandon Ingram,Ingram,35.23333232,8300,DAL@NO,NO,DAL,,,,,,SF,40.40,4.87,35.49
96011-157908,C,Alperen,Alperen Sengun,Sengun,39.83750153,8200,DEN@HOU,HOU,DEN,,,,,,C,38.40,4.68,32.24
96011-110310,PF,Zion,Zion Williamson,Williamson,37.07142857,8100,DAL@NO,NO,DAL,,,,,,PF,43.60,5.38,32.92
96011-171759,C,Chet,Chet Holmgren,Holmgren,37,8100,OKC@PHO,OKC,PHO,,,,,,C,33.50,4.13,30.84
96011-58462,PF/C,Karl-Anthony,Karl-Anthony Towns,Towns,34.375,8000,MIN@GS,MIN,GS,,,,,,PF/C,37.40,4.68,34.64
96011-24247,PG,Fred,Fred VanVleet,VanVleet,34.41249847,8000,DEN@HOU,HOU,DEN,,,,,,PG,36.10,4.51,33.37
96011-157808,PG/SG,Cade,Cade Cunningham,Cunningham,35.88999939,7900,DET@CHI,DET,CHI,,,,,,PG/SG,38.20,4.84,36.29
96011-9714,SF,DeMar,DeMar DeRozan,DeRozan,37.45555623,7900,DET@CHI,CHI,DET,,,,,,SF,36.20,4.58,33.09
96011-84673,C,Deandre,Deandre Ayton,Ayton,35.76250076,7800,POR@LAL,POR,LAL,,,,,,C,34.10,4.37,34.96
96011-40783,SG,Zach,Zach LaVine,LaVine,32.80000136,7800,DET@CHI,CHI,DET,,,,,,SG,36.50,4.68,35.77
96011-41594,PF,Aaron,Aaron Gordon,Gordon,33.31110975,7700,DEN@HOU,DEN,HOU,,,,,,PF,35.30,4.59,34.61
96011-16359,PG/SG,Malcolm,Malcolm Brogdon,Brogdon,31.82500076,7700,POR@LAL,POR,LAL,O,Hamstring,,,,PG/SG,0.00,0.00,0.00
96011-15595,SG/PG,Bradley,Bradley Beal,Beal,30.29999924,7600,OKC@PHO,PHO,OKC,GTD,Back,,,,PG/SG,35.90,4.72,33.54
96011-40203,C,Rudy,Rudy Gobert,Gobert,36,7600,MIN@GS,MIN,GS,,,,,,C,32.50,4.27,30.89
96011-19067,PG/SG,CJ,CJ McCollum,McCollum,41.63333384,7500,DAL@NO,NO,DAL,O,Chest,,,,PG/SG,0.00,0.00,0.00
96011-14514,C,Nikola,Nikola Vucevic,Vucevic,35.52222358,7500,DET@CHI,CHI,DET,,,,,,C,38.00,5.07,34.92
96011-188426,SG,Ausar,Ausar Thompson,Thompson,36.45,7400,DET@CHI,DET,CHI,,,,,,SG,35.40,4.79,34.28
96011-110312,SG,Tyler,Tyler Herro,Herro,37.4375,7300,MIA@SA,MIA,SA,O,Ankle,,,,SG,0.00,0.00,0.00
96011-171804,SF/SG,Shaedon,Shaedon Sharpe,Sharpe,32.98749924,7200,POR@LAL,POR,LAL,,,,,,SG/SF,34.50,4.80,37.83
96011-66108,PG,Jamal,Jamal Murray,Murray,31.2285723,7100,DEN@HOU,DEN,HOU,O,Hamstring,,,,PG,0.00,0.00,0.00
96011-55057,C,Jusuf,Jusuf Nurkic,Nurkic,34.47777642,7100,OKC@PHO,PHO,OKC,,,,,,C,33.00,4.64,28.61
96011-84682,SF,Michael,Michael Porter,Porter,31.82222154,7000,DEN@HOU,DEN,HOU,,,,,,SF,29.10,4.16,29.98
96011-171779,C,Jalen,Jalen Duren,Duren,32.5625,6900,DET@CHI,DET,CHI,O,Ankle,,,,C,0.00,0.00,0.00
96011-58312,PG/SG,D'Angelo,D'Angelo Russell,Russell,33.06666734,6900,POR@LAL,LAL,POR,,,,,,PG/SG,33.90,4.91,34.99
96011-23831,PF/SF,Jerami,Jerami Grant,Grant,33.22499847,6800,POR@LAL,POR,LAL,,,,,,SF/PF,38.30,5.64,38.50
96011-145324,SG,Devin,Devin Vassell,Vassell,27.55714199,6700,MIA@SA,SA,MIA,,,,,,SG,32.20,4.80,32.78
96011-110347,PF/SF,Keldon,Keldon Johnson,Johnson,29.2555542,6600,MIA@SA,SA,MIA,,,,,,SF/PF,29.30,4.44,35.17
96011-14503,C,Jonas,Jonas Valanciunas,Valanciunas,27.98888821,6500,DAL@NO,NO,DAL,,,,,,C,26.20,4.02,22.54
96011-157907,SG/PG,Jalen,Jalen Green,Green,29.53750038,6500,DEN@HOU,HOU,DEN,,,,,,PG/SG,30.10,4.63,32.38
96011-157905,SG/PG,Josh,Josh Giddey,Giddey,25.63333299,6400,OKC@PHO,OKC,PHO,,,,,,PG/SG,30.90,4.83,28.54
96011-15860,PF/C,Draymond,Draymond Green,Green,27.85714286,6400,MIN@GS,GS,MIN,,,,,,PF/C,29.90,4.68,29.36
96011-9623,PG,Chris,Chris Paul,Paul,28.52999878,6300,MIN@GS,GS,MIN,,,,,,PG,29.00,4.61,27.58
96011-80815,PF/C,Zach,Zach Collins,Collins,30,6300,MIA@SA,SA,MIA,,,,,,PF/C,33.40,5.30,34.30
96011-171760,SF/SG,Jalen,Jalen Williams,Williams,28.24444411,6200,OKC@PHO,OKC,PHO,,,,,,SG/SF,29.40,4.74,33.46
