Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94059-80001,RB,Austin,Austin Ekeler,Ekeler,24.399999618530273,1,9800,LAC@MIN,LAC,MIN,Q,Ankle,,,,RB/FLEX
94059-85671,WR,Justin,Justin Jefferson,Jefferson,19.450000762939453,2,9700,LAC@MIN,MIN,LAC,,,,,,WR/FLEX
94059-53681,WR,Tyreek,Tyreek Hill,Hill,25.75,2,9600,DEN@MIA,MIA,DEN,Q,Ankle,,,,WR/FLEX
94059-63759,RB,Tony,Tony Pollard,Pollard,18.799999237060547,2,9400,DAL@ARI,DAL,ARI,,,,,,RB/FLEX
94059-57439,QB,Patrick,Patrick Mahomes,Mahomes,21.3700008392334,2,9200,CHI@KC,KC,CHI,,,,,,QB
94059-136855,RB,Bijan,Bijan Robinson,Robinson,18.25,2,9000,ATL@DET,ATL,DET,,,,,,RB/FLEX
94059-29253,WR,Keenan,Keenan Allen,Allen,19.149999618530273,2,8800,LAC@MIN,LAC,MIN,,,,,,WR/FLEX
94059-62239,QB,Josh,Josh Allen,Allen,17.850000381469727,2,8800,BUF@WAS,BUF,WAS,,,,,,QB
94059-53562,RB,Nick,Nick Chubb,Chubb,10.550000190734863,2,8600,TEN@CLE,CLE,TEN,IR,Knee - meniscus,,,,RB/FLEX
94059-86631,WR,CeeDee,CeeDee Lamb,Lamb,14.75,2,8500,DAL@ARI,DAL,ARI,,,,,,WR/FLEX
94059-39280,RB,Derrick,Derrick Henry,Henry,14.949999809265137,2,8400,TEN@CLE,TEN,CLE,Q,Toe,,,,RB/FLEX
94059-69189,QB,Justin,Justin Herbert,Herbert,21.530000686645508,2,8400,LAC@MIN,LAC,MIN,,,,,,QB
94059-63115,QB,Lamar,Lamar Jackson,Jackson,15.220000267028809,2,8200,IND@BAL,BAL,IND,,,,,,QB
94059-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,20.700000762939453,2,8100,DEN@MIA,MIA,DEN,,,,,,QB
94059-40442,RB,Aaron,Aaron Jones,Jones,25.700000762939453,1,8100,NO@GB,GB,NO,Q,Hamstring,,,,RB/FLEX
94059-129315,QB,Anthony,Anthony Richardson,Richardson,19.829999923706055,2,8000,IND@BAL,IND,BAL,Q,Concussion,,,,QB
94059-33076,TE,Travis,Travis Kelce,Kelce,10.600000381469727,1,8000,CHI@KC,KC,CHI,,,,,,TE/FLEX
94059-25079,WR,Stefon,Stefon Diggs,Diggs,15.649999618530273,2,8000,BUF@WAS,BUF,WAS,,,,,,WR/FLEX
94059-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,12.050000190734863,2,8000,HOU@JAC,JAC,HOU,,,,,,RB/FLEX
94059-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,13.649999618530273,2,7900,ATL@DET,DET,ATL,Q,Toe,,,,WR/FLEX
94059-22038,QB,Kirk,Kirk Cousins,Cousins,23.010000228881836,2,7800,LAC@MIN,MIN,LAC,,,,,,QB
94059-87770,WR,Chris,Chris Olave,Olave,13.399999618530273,2,7800,NO@GB,NO,GB,,,,,,WR/FLEX
94059-91591,QB,Justin,Justin Fields,Fields,16.139999389648438,2,7700,CHI@KC,CHI,KC,,,,,,QB
94059-90573,WR,Jaylen,Jaylen Waddle,Waddle,10.100000381469727,2,7600,DEN@MIA,MIA,DEN,Q,Concussion,,,,WR/FLEX
94059-103342,RB,Kenneth,Kenneth Walker III,Walker III,13.300000190734863,2,7600,CAR@SEA,SEA,CAR,,,,,,RB/FLEX
94059-31716,QB,Dak,Dak Prescott,Prescott,12.960000038146973,2,7600,DAL@ARI,DAL,ARI,,,,,,QB
94059-89951,QB,Trevor,Trevor Lawrence,Lawrence,13.989999771118164,2,7600,HOU@JAC,JAC,HOU,,,,,,QB
94059-71706,TE,T.J.,T.J. Hockenson,Hockenson,14.800000190734863,2,7500,LAC@MIN,MIN,LAC,,,,,,TE/FLEX
94059-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,20.5,2,7500,BUF@WAS,WAS,BUF,,,,,,RB/FLEX
94059-64555,WR,Calvin,Calvin Ridley,Ridley,12.149999618530273,2,7500,HOU@JAC,JAC,HOU,,,,,,WR/FLEX
94059-38435,QB,Jared,Jared Goff,Goff,18.969999313354492,2,7500,ATL@DET,DET,ATL,,,,,,QB
